Pays,1995,2000,2005,2010
Australia,23.0,23.0,24.2,26.8
Austria,,10.4,14.5,16.7
Belgium,9.7,10.3,12.1,14.4
Canada,17.2,18.1,19.5,21.3
Chile,0.9,1.2,1.4,1.9
Czech Republic,,1.2,1.5,2.9
Denmark,4.8,5.8,6.5,9.6
Estonia,,18.4,17.5,16.6
Finland,2.1,2.6,3.4,3.7
France,,10.1,11.0,12.6
Germany,11.5,12.5,12.6,16.4
Greece,,,,8.7
Hungary,2.7,2.9,3.3,1.9
Iceland,,,,7.9
Ireland,,8.7,12.6,15.5
Israel,,32.2,29.1,31.2
Italy,,,,8.8
Japan,,,,
Korea,,,,
Luxembourg,30.9,33.2,35.0,42.4
Mexico,0.5,0.5,0.6,0.9
Netherlands,9.1,10.1,10.6,11.2
New Zealand,,17.2,20.3,23.2
Norway,5.5,6.8,8.2,10.0
Poland,,,,0.9
Portugal,5.2,5.1,6.3,7.3
Slovak Republic,,,4.6,0.7
Slovenia,,,,9.1
Spain,,4.9,11.1,14.9
Sweden,10.6,11.3,12.5,16.8
Switzerland,21.4,21.9,23.8,27.8
Turkey,,1.9,,3.8
United Kingdom,6.9,7.9,9.4,12.9
United States,10.1,11.5,13.3,13.1
EU 27,,,,
OECD,,,,
Brazil,0.4,0.4,0.4,0.4
China,0.0,0.0,0.0,0.1
India,0.7,0.6,0.5,0.4
Indonesia,0.1,0.1,0.1,0.1
Russian Federation,7.9,8.1,8.4,8.7
South Africa,2.7,2.3,2.6,3.7
