"Année","value"
1876,5.8
1877,5.3
1878,5.2
1879,4.7
1880,4.2
1881,4.7
1882,4.8
1883,4.4
1884,4.5
1885,4.6
1886,4.5
1887,4.6
1888,4.2
1889,4.3
1890,4.4
1891,4.3
1892,4.3
1893,4.4
1894,4.5
1895,4.3
1896,5.1
1897,4.8
1898,4.8
1899,5.1
1900,4.7
1901,4.6
1902,4.9
1903,5.2
1904,5.4
1905,5.2
1906,5.7
1907,6.3
1908,6.4
1909,6.3
1910,6.2
1911,6.5
1912,6
1913,6.3
1914,5.7
1915,5.7
1916,6.1
1917,6.5
1918,6.8
1919,7.9
1920,8.9
1921,7.7
1922,8
1923,7.6
1924,7.9
1925,8.2
1926,8.1
1927,9.1
1928,9.2
1929,9.8
1930,9.6
1931,10.1
1932,10.6
1933,10.3
1934,10.4
1935,10.2
1936,10.8
1937,11.2
1938,11.3
1939,10
1940,10.2
1941,10.1
1942,10.4
1943,10.3
1944,10
1945,11.7
1946,13.4
1947,13.2
1948,13
1949,12.3
1950,12.5
1951,12.5
1952,12.1
1953,12.6
1954,12.6
1955,12.5
1956,12
1957,12.6
1958,12.1
1959,12.7
1960,12.5
1961,12.7
1962,12.5
1963,12.3
1964,12.6
1965,12.7
1966,12.5
1967,12.9
1968,13.8
1969,14.6
1970,15.4
1971,16.8
1972,18
1973,18.8
1974,19.1
1975,20.9
1976,22.6
1977,25
1978,25.5
1979,25.7
1980,27.3
1981,28.2
1982,29.6
1983,30.1
1984,28.9
1985,29.5
1986,29.4
1987,29.8
1988,32.7
1989,32.4
1990,33.2
1991,34
1992,35.8
1993,36.6
1994,37.8
1995,37.9
1996,39
1997,41.1
1998,43.1
1999,50.5
2000,25.6
2001,38.5
2002,40
2003,41.3
2004,44.2
2005,52.6
2006,51.7
2007,49.1
2008,48.4
2009,47.7
2010,54.4
2011,43.2
2012,43.1
